date,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,
22.64,0.49,1.91,7.19,13.35,21.83,31.59,42.48,55.99,67.26,81,95.56,110.91,127,
22.69,0.83,2.34,7.93,14.36,23.01,32.92,43.95,57.55,68.97,82.81,97.48,112.92,129.1,
22.74,1.07,2.7,8.6,15.32,24.15,34.21,45.38,59.06,70.64,84.59,99.36,114.9,,
22.79,1.26,3.01,9.23,16.22,25.24,35.46,46.77,60.55,72.28,86.34,101.22,116.85,,
22.84,1.43,3.3,9.83,17.08,26.28,36.67,48.12,62,73.88,88.06,103.04,118.78,,
22.89,1.58,3.57,10.39,17.9,27.29,37.84,49.44,63.42,75.45,89.75,104.83,120.67,,
22.94,1.72,3.82,10.92,18.69,28.27,38.98,50.73,64.81,77,91.4,106.6,,,
22.99,1.85,4.05,11.43,19.45,29.22,40.09,51.99,66.18,78.51,93.04,108.34,,,
23.04,1.97,4.27,11.92,20.18,30.13,41.18,53.22,67.52,80,94.64,110.05,,,
23.09,2.08,4.48,12.39,20.89,31.03,42.24,54.42,68.83,81.47,96.22,111.75,,,
23.14,2.19,4.68,12.84,21.57,31.9,43.27,55.6,70.13,82.91,97.78,,,,
23.19,2.29,4.87,13.28,22.23,32.74,44.28,56.76,71.4,84.33,99.32,,,,
23.24,2.39,5.06,13.7,22.88,33.57,45.27,57.9,72.65,85.72,100.83,,,,
23.29,2.49,5.24,14.11,23.51,34.38,46.24,59.01,73.88,87.1,102.33,,,,
23.34,2.58,5.41,14.51,24.12,35.17,47.19,60.11,75.09,88.46,,,,,
23.39,2.67,5.58,14.9,24.72,35.94,48.12,61.19,76.28,89.79,,,,,
23.44,2.75,5.74,15.28,25.3,36.7,49.03,62.25,77.46,91.11,,,,,
23.49,2.83,5.9,15.65,25.87,37.44,49.93,63.29,78.62,92.41,,,,,
23.54,2.91,6.05,16.01,26.43,38.17,50.82,64.31,79.76,,,,,,
23.59,2.99,6.2,16.37,26.98,38.89,51.69,65.33,80.89,,,,,,
23.64,3.07,6.35,16.71,27.52,39.59,52.54,66.32,82,,,,,,
23.69,3.14,6.49,17.05,28.04,40.28,53.38,67.3,,,,,,,
23.74,3.21,6.63,17.39,28.56,40.96,54.21,68.27,,,,,,,
23.79,3.28,6.77,17.71,29.07,41.63,55.03,69.23,,,,,,,
23.84,3.35,6.9,18.03,29.57,42.29,55.84,70.17,,,,,,,
23.89,3.42,7.03,18.35,30.06,42.94,56.63,71.1,,,,,,,
23.94,3.49,7.16,18.66,30.54,43.58,57.42,,,,,,,,
23.99,3.55,7.29,18.96,31.02,44.21,58.19,,,,,,,,
24.04,3.62,7.42,19.26,31.49,44.83,58.95,,,,,,,,
24.09,3.68,7.54,19.56,31.95,45.44,59.71,,,,,,,,
24.14,3.74,7.66,19.85,32.41,46.05,,,,,,,,,
24.19,3.8,7.78,20.14,32.86,46.65,,,,,,,,,
24.24,3.86,7.9,20.42,33.3,47.24,,,,,,,,,
24.29,3.92,8.01,20.7,33.74,47.82,,,,,,,,,
24.34,3.98,8.13,20.98,34.17,,,,,,,,,,
24.39,4.04,8.24,21.25,34.6,,,,,,,,,,
24.44,4.09,8.35,21.52,35.02,,,,,,,,,,
24.49,4.15,8.46,21.78,35.44,,,,,,,,,,
24.54,4.2,8.57,22.04,,,,,,,,,,,
24.59,4.26,8.67,22.3,,,,,,,,,,,
24.64,4.31,8.78,22.56,,,,,,,,,,,
24.69,4.37,8.88,,,,,,,,,,,,
24.74,4.42,8.99,,,,,,,,,,,,
24.79,4.47,9.09,,,,,,,,,,,,
24.84,4.52,9.19,,,,,,,,,,,,
24.89,4.57,,,,,,,,,,,,,
24.94,4.62,,,,,,,,,,,,, 
